id,set_id,condition,target,lure,answer,pred,correct,pred_is_lure,values,names,group,names_target
L2-44-00000-cong@v1,L2-44-00000,congruent,v1,,0,0.0,True,False,"{'v1': 0, 'v2': 0}","{'v1': 'zero', 'v2': 'cloud'}",congruent@v1,zero
L2-44-00001-cong@v1,L2-44-00001,congruent,v1,,8,8.0,True,False,"{'v1': 6, 'v2': 8}","{'v1': 'six', 'v2': 'tea'}",congruent@v1,six
L2-44-00002-cong@v1,L2-44-00002,congruent,v1,,8,8.0,True,False,"{'v1': 1, 'v2': 8}","{'v1': 'one', 'v2': 'book'}",congruent@v1,one
L2-44-00003-cong@v1,L2-44-00003,congruent,v1,,4,4.0,True,False,"{'v1': 2, 'v2': 4}","{'v1': 'two', 'v2': 'wolf'}",congruent@v1,two
L2-44-00004-cong@v1,L2-44-00004,congruent,v1,,3,3.0,True,False,"{'v1': 6, 'v2': 3}","{'v1': 'six', 'v2': 'pot'}",congruent@v1,six
L2-44-00005-cong@v1,L2-44-00005,congruent,v1,,8,8.0,True,False,"{'v1': 0, 'v2': 8}","{'v1': 'zero', 'v2': 'lake'}",congruent@v1,zero
L2-44-00006-cong@v1,L2-44-00006,congruent,v1,,0,0.0,True,False,"{'v1': 0, 'v2': 0}","{'v1': 'zero', 'v2': 'bag'}",congruent@v1,zero
L2-44-00007-cong@v1,L2-44-00007,congruent,v1,,7,7.0,True,False,"{'v1': 1, 'v2': 7}","{'v1': 'one', 'v2': 'train'}",congruent@v1,one
L2-44-00008-cong@v1,L2-44-00008,congruent,v1,,0,4.0,False,False,"{'v1': 6, 'v2': 0}","{'v1': 'six', 'v2': 'bread'}",congruent@v1,six
L2-44-00009-cong@v1,L2-44-00009,congruent,v1,,1,1.0,True,False,"{'v1': 0, 'v2': 1}","{'v1': 'zero', 'v2': 'cow'}",congruent@v1,zero
L2-44-00010-cong@v1,L2-44-00010,congruent,v1,,1,1.0,True,False,"{'v1': 3, 'v2': 1}","{'v1': 'three', 'v2': 'hat'}",congruent@v1,three
L2-44-00011-cong@v1,L2-44-00011,congruent,v1,,0,0.0,True,False,"{'v1': 6, 'v2': 0}","{'v1': 'six', 'v2': 'ship'}",congruent@v1,six
L2-44-00012-cong@v1,L2-44-00012,congruent,v1,,8,8.0,True,False,"{'v1': 1, 'v2': 8}","{'v1': 'one', 'v2': 'boat'}",congruent@v1,one
L2-44-00013-cong@v1,L2-44-00013,congruent,v1,,0,0.0,True,False,"{'v1': 2, 'v2': 0}","{'v1': 'two', 'v2': 'book'}",congruent@v1,two
L2-44-00014-cong@v1,L2-44-00014,congruent,v1,,2,2.0,True,False,"{'v1': 6, 'v2': 2}","{'v1': 'six', 'v2': 'lake'}",congruent@v1,six
L2-44-00015-cong@v1,L2-44-00015,congruent,v1,,7,7.0,True,False,"{'v1': 0, 'v2': 7}","{'v1': 'zero', 'v2': 'table'}",congruent@v1,zero
L2-44-00016-cong@v1,L2-44-00016,congruent,v1,,6,6.0,True,False,"{'v1': 2, 'v2': 6}","{'v1': 'two', 'v2': 'book'}",congruent@v1,two
L2-44-00017-cong@v1,L2-44-00017,congruent,v1,,5,5.0,True,False,"{'v1': 1, 'v2': 5}","{'v1': 'one', 'v2': 'owl'}",congruent@v1,one
L2-44-00018-cong@v1,L2-44-00018,congruent,v1,,7,7.0,True,False,"{'v1': 0, 'v2': 7}","{'v1': 'zero', 'v2': 'farm'}",congruent@v1,zero
L2-44-00019-cong@v1,L2-44-00019,congruent,v1,,5,5.0,True,False,"{'v1': 1, 'v2': 5}","{'v1': 'one', 'v2': 'salt'}",congruent@v1,one
L2-44-00020-cong@v1,L2-44-00020,congruent,v1,,4,4.0,True,False,"{'v1': 1, 'v2': 4}","{'v1': 'one', 'v2': 'gem'}",congruent@v1,one
L2-44-00021-cong@v1,L2-44-00021,congruent,v1,,2,2.0,True,False,"{'v1': 5, 'v2': 2}","{'v1': 'five', 'v2': 'wheel'}",congruent@v1,five
L2-44-00022-cong@v1,L2-44-00022,congruent,v1,,3,3.0,True,False,"{'v1': 2, 'v2': 3}","{'v1': 'two', 'v2': 'nest'}",congruent@v1,two
L2-44-00023-cong@v1,L2-44-00023,congruent,v1,,1,1.0,True,False,"{'v1': 1, 'v2': 1}","{'v1': 'one', 'v2': 'cake'}",congruent@v1,one
L2-44-00024-cong@v1,L2-44-00024,congruent,v1,,6,6.0,True,False,"{'v1': 3, 'v2': 6}","{'v1': 'three', 'v2': 'lid'}",congruent@v1,three
L2-44-00025-cong@v1,L2-44-00025,congruent,v1,,4,4.0,True,False,"{'v1': 5, 'v2': 4}","{'v1': 'five', 'v2': 'fish'}",congruent@v1,five
L2-44-00026-cong@v1,L2-44-00026,congruent,v1,,9,9.0,True,False,"{'v1': 5, 'v2': 9}","{'v1': 'five', 'v2': 'pear'}",congruent@v1,five
