id,set_id,condition,target,lure,answer,pred,correct,pred_is_lure,values,names,group,names_target
L3-44-00000-letter,L3-44-00000,letter,,,3,3,True,False,"{'v2': 1, 'v1': 3}","{'v1': 'S', 'v2': 'Y'}",letter,
L3-44-00001-letter,L3-44-00001,letter,,,3,3,True,False,"{'v2': 1, 'v1': 3}","{'v1': 'S', 'v2': 'G'}",letter,
L3-44-00002-letter,L3-44-00002,letter,,,7,7,True,False,"{'v2': 2, 'v1': 7}","{'v1': 'I', 'v2': 'R'}",letter,
L3-44-00003-letter,L3-44-00003,letter,,,4,4,True,False,"{'v2': 5, 'v1': 4}","{'v1': 'W', 'v2': 'C'}",letter,
L3-44-00004-letter,L3-44-00004,letter,,,5,5,True,False,"{'v2': 0, 'v1': 5}","{'v1': 'U', 'v2': 'P'}",letter,
L3-44-00005-letter,L3-44-00005,letter,,,3,3,True,False,"{'v2': 0, 'v1': 3}","{'v1': 'U', 'v2': 'C'}",letter,
L3-44-00006-letter,L3-44-00006,letter,,,4,4,True,False,"{'v2': 1, 'v1': 4}","{'v1': 'A', 'v2': 'Y'}",letter,
L3-44-00007-letter,L3-44-00007,letter,,,8,8,True,False,"{'v2': 6, 'v1': 8}","{'v1': 'W', 'v2': 'G'}",letter,
L3-44-00008-letter,L3-44-00008,letter,,,3,3,True,False,"{'v2': 0, 'v1': 3}","{'v1': 'O', 'v2': 'R'}",letter,
L3-44-00009-letter,L3-44-00009,letter,,,1,2,False,False,"{'v2': 0, 'v1': 1}","{'v1': 'N', 'v2': 'L'}",letter,
L3-44-00010-letter,L3-44-00010,letter,,,5,5,True,False,"{'v2': 3, 'v1': 5}","{'v1': 'A', 'v2': 'N'}",letter,
L3-44-00011-letter,L3-44-00011,letter,,,5,5,True,False,"{'v2': 1, 'v1': 5}","{'v1': 'X', 'v2': 'V'}",letter,
L3-44-00012-letter,L3-44-00012,letter,,,3,3,True,False,"{'v2': 0, 'v1': 3}","{'v1': 'B', 'v2': 'T'}",letter,
L3-44-00013-letter,L3-44-00013,letter,,,9,9,True,False,"{'v2': 1, 'v1': 9}","{'v1': 'F', 'v2': 'K'}",letter,
L3-44-00014-letter,L3-44-00014,letter,,,7,7,True,False,"{'v2': 0, 'v1': 7}","{'v1': 'Z', 'v2': 'A'}",letter,
L3-44-00015-letter,L3-44-00015,letter,,,9,9,True,False,"{'v2': 0, 'v1': 9}","{'v1': 'N', 'v2': 'Y'}",letter,
L3-44-00016-letter,L3-44-00016,letter,,,8,8,True,False,"{'v2': 1, 'v1': 8}","{'v1': 'H', 'v2': 'R'}",letter,
L3-44-00017-letter,L3-44-00017,letter,,,7,7,True,False,"{'v2': 2, 'v1': 7}","{'v1': 'C', 'v2': 'G'}",letter,
L3-44-00018-letter,L3-44-00018,letter,,,7,7,True,False,"{'v2': 0, 'v1': 7}","{'v1': 'U', 'v2': 'N'}",letter,
L3-44-00019-letter,L3-44-00019,letter,,,3,3,True,False,"{'v2': 5, 'v1': 3}","{'v1': 'G', 'v2': 'Q'}",letter,
L3-44-00020-letter,L3-44-00020,letter,,,1,1,True,False,"{'v2': 1, 'v1': 1}","{'v1': 'T', 'v2': 'M'}",letter,
L3-44-00021-letter,L3-44-00021,letter,,,5,5,True,False,"{'v2': 1, 'v1': 5}","{'v1': 'Q', 'v2': 'J'}",letter,
L3-44-00022-letter,L3-44-00022,letter,,,3,3,True,False,"{'v2': 5, 'v1': 3}","{'v1': 'C', 'v2': 'T'}",letter,
L3-44-00023-letter,L3-44-00023,letter,,,3,3,True,False,"{'v2': 2, 'v1': 3}","{'v1': 'C', 'v2': 'S'}",letter,
L3-44-00024-letter,L3-44-00024,letter,,,2,2,True,False,"{'v2': 1, 'v1': 2}","{'v1': 'G', 'v2': 'R'}",letter,
L3-44-00025-letter,L3-44-00025,letter,,,7,7,True,False,"{'v2': 5, 'v1': 7}","{'v1': 'Q', 'v2': 'L'}",letter,
L3-44-00026-letter,L3-44-00026,letter,,,6,6,True,False,"{'v2': 5, 'v1': 6}","{'v1': 'Y', 'v2': 'J'}",letter,
L3-44-00027-letter,L3-44-00027,letter,,,6,6,True,False,"{'v2': 0, 'v1': 6}","{'v1': 'E', 'v2': 'D'}",letter,
L3-44-00028-letter,L3-44-00028,letter,,,1,1,True,False,"{'v2': 5, 'v1': 1}","{'v1': 'T', 'v2': 'M'}",letter,
L3-44-00029-letter,L3-44-00029,letter,,,8,8,True,False,"{'v2': 3, 'v1': 8}","{'v1': 'I', 'v2': 'N'}",letter,
L3-44-00030-letter,L3-44-00030,letter,,,1,1,True,False,"{'v2': 6, 'v1': 1}","{'v1': 'V', 'v2': 'K'}",letter,
L3-44-00031-letter,L3-44-00031,letter,,,5,5,True,False,"{'v2': 1, 'v1': 5}","{'v1': 'U', 'v2': 'D'}",letter,
L3-44-00032-letter,L3-44-00032,letter,,,0,0,True,False,"{'v2': 7, 'v1': 0}","{'v1': 'Y', 'v2': 'X'}",letter,
L3-44-00033-letter,L3-44-00033,letter,,,1,1,True,False,"{'v2': 1, 'v1': 1}","{'v1': 'O', 'v2': 'D'}",letter,
L3-44-00034-letter,L3-44-00034,letter,,,2,2,True,False,"{'v2': 0, 'v1': 2}","{'v1': 'G', 'v2': 'F'}",letter,
L3-44-00035-letter,L3-44-00035,letter,,,0,0,True,False,"{'v2': 6, 'v1': 0}","{'v1': 'Y', 'v2': 'L'}",letter,
L3-44-00036-letter,L3-44-00036,letter,,,6,6,True,False,"{'v2': 3, 'v1': 6}","{'v1': 'C', 'v2': 'L'}",letter,
L3-44-00037-letter,L3-44-00037,letter,,,2,2,True,False,"{'v2': 3, 'v1': 2}","{'v1': 'A', 'v2': 'C'}",letter,
L3-44-00038-letter,L3-44-00038,letter,,,3,3,True,False,"{'v2': 5, 'v1': 3}","{'v1': 'Y', 'v2': 'C'}",letter,
L3-44-00039-letter,L3-44-00039,letter,,,7,7,True,False,"{'v2': 2, 'v1': 7}","{'v1': 'H', 'v2': 'F'}",letter,
L3-44-00040-letter,L3-44-00040,letter,,,3,3,True,False,"{'v2': 5, 'v1': 3}","{'v1': 'T', 'v2': 'Z'}",letter,
L3-44-00041-letter,L3-44-00041,letter,,,3,3,True,False,"{'v2': 1, 'v1': 3}","{'v1': 'B', 'v2': 'A'}",letter,
L3-44-00042-letter,L3-44-00042,letter,,,2,2,True,False,"{'v2': 1, 'v1': 2}","{'v1': 'F', 'v2': 'C'}",letter,
L3-44-00043-letter,L3-44-00043,letter,,,6,6,True,False,"{'v2': 6, 'v1': 6}","{'v1': 'L', 'v2': 'T'}",letter,
L3-44-00044-letter,L3-44-00044,letter,,,4,4,True,False,"{'v2': 1, 'v1': 4}","{'v1': 'S', 'v2': 'X'}",letter,
L3-44-00045-letter,L3-44-00045,letter,,,3,3,True,False,"{'v2': 0, 'v1': 3}","{'v1': 'F', 'v2': 'I'}",letter,
L3-44-00046-letter,L3-44-00046,letter,,,9,9,True,False,"{'v2': 0, 'v1': 9}","{'v1': 'R', 'v2': 'E'}",letter,
L3-44-00047-letter,L3-44-00047,letter,,,3,3,True,False,"{'v2': 5, 'v1': 3}","{'v1': 'A', 'v2': 'J'}",letter,
L3-44-00048-letter,L3-44-00048,letter,,,5,5,True,False,"{'v2': 0, 'v1': 5}","{'v1': 'R', 'v2': 'V'}",letter,
L3-44-00049-letter,L3-44-00049,letter,,,6,6,True,False,"{'v2': 6, 'v1': 6}","{'v1': 'X', 'v2': 'V'}",letter,
L3-44-00050-letter,L3-44-00050,letter,,,8,8,True,False,"{'v2': 8, 'v1': 8}","{'v1': 'D', 'v2': 'L'}",letter,
L3-44-00051-letter,L3-44-00051,letter,,,1,1,True,False,"{'v2': 7, 'v1': 1}","{'v1': 'G', 'v2': 'R'}",letter,
L3-44-00052-letter,L3-44-00052,letter,,,0,0,True,False,"{'v2': 1, 'v1': 0}","{'v1': 'F', 'v2': 'P'}",letter,
L3-44-00053-letter,L3-44-00053,letter,,,0,0,True,False,"{'v2': 9, 'v1': 0}","{'v1': 'C', 'v2': 'L'}",letter,
L3-44-00054-letter,L3-44-00054,letter,,,6,6,True,False,"{'v2': 1, 'v1': 6}","{'v1': 'X', 'v2': 'K'}",letter,
L3-44-00055-letter,L3-44-00055,letter,,,8,8,True,False,"{'v2': 2, 'v1': 8}","{'v1': 'G', 'v2': 'A'}",letter,
L3-44-00056-letter,L3-44-00056,letter,,,9,9,True,False,"{'v2': 1, 'v1': 9}","{'v1': 'O', 'v2': 'R'}",letter,
L3-44-00057-letter,L3-44-00057,letter,,,0,0,True,False,"{'v2': 1, 'v1': 0}","{'v1': 'W', 'v2': 'Q'}",letter,
L3-44-00058-letter,L3-44-00058,letter,,,4,4,True,False,"{'v2': 1, 'v1': 4}","{'v1': 'F', 'v2': 'J'}",letter,
L3-44-00059-letter,L3-44-00059,letter,,,8,8,True,False,"{'v2': 7, 'v1': 8}","{'v1': 'R', 'v2': 'Y'}",letter,
L3-44-00060-letter,L3-44-00060,letter,,,5,5,True,False,"{'v2': 2, 'v1': 5}","{'v1': 'I', 'v2': 'L'}",letter,
L3-44-00061-letter,L3-44-00061,letter,,,5,5,True,False,"{'v2': 1, 'v1': 5}","{'v1': 'I', 'v2': 'U'}",letter,
L3-44-00062-letter,L3-44-00062,letter,,,9,9,True,False,"{'v2': 0, 'v1': 9}","{'v1': 'B', 'v2': 'T'}",letter,
L3-44-00063-letter,L3-44-00063,letter,,,3,3,True,False,"{'v2': 0, 'v1': 3}","{'v1': 'K', 'v2': 'O'}",letter,
L3-44-00064-letter,L3-44-00064,letter,,,2,2,True,False,"{'v2': 7, 'v1': 2}","{'v1': 'J', 'v2': 'N'}",letter,
L3-44-00065-letter,L3-44-00065,letter,,,8,8,True,False,"{'v2': 7, 'v1': 8}","{'v1': 'I', 'v2': 'Z'}",letter,
L3-44-00066-letter,L3-44-00066,letter,,,7,7,True,False,"{'v2': 6, 'v1': 7}","{'v1': 'N', 'v2': 'P'}",letter,
