id,set_id,condition,target,lure,answer,pred,correct,pred_is_lure,values,group,names_target
L3-44-00000-cong@v1,L3-44-00000,congruent,v1,,3,0,False,False,"{'v2': 1, 'v1': 3}",congruent@v1,
L3-44-00001-cong@v1,L3-44-00001,congruent,v1,,3,0,False,False,"{'v2': 1, 'v1': 3}",congruent@v1,
L3-44-00002-cong@v1,L3-44-00002,congruent,v1,,7,0,False,False,"{'v2': 2, 'v1': 7}",congruent@v1,
L3-44-00003-cong@v1,L3-44-00003,congruent,v1,,4,4,True,False,"{'v2': 5, 'v1': 4}",congruent@v1,
L3-44-00004-cong@v1,L3-44-00004,congruent,v1,,5,0,False,False,"{'v2': 0, 'v1': 5}",congruent@v1,
L3-44-00005-cong@v1,L3-44-00005,congruent,v1,,3,0,False,False,"{'v2': 0, 'v1': 3}",congruent@v1,
L3-44-00006-cong@v1,L3-44-00006,congruent,v1,,4,0,False,False,"{'v2': 1, 'v1': 4}",congruent@v1,
L3-44-00007-cong@v1,L3-44-00007,congruent,v1,,8,6,False,False,"{'v2': 6, 'v1': 8}",congruent@v1,
L3-44-00008-cong@v1,L3-44-00008,congruent,v1,,3,3,True,False,"{'v2': 0, 'v1': 3}",congruent@v1,
L3-44-00009-cong@v1,L3-44-00009,congruent,v1,,1,0,False,False,"{'v2': 0, 'v1': 1}",congruent@v1,
L3-44-00010-cong@v1,L3-44-00010,congruent,v1,,5,3,False,False,"{'v2': 3, 'v1': 5}",congruent@v1,
L3-44-00011-cong@v1,L3-44-00011,congruent,v1,,5,0,False,False,"{'v2': 1, 'v1': 5}",congruent@v1,
L3-44-00012-cong@v1,L3-44-00012,congruent,v1,,3,0,False,False,"{'v2': 0, 'v1': 3}",congruent@v1,
L3-44-00013-cong@v1,L3-44-00013,congruent,v1,,9,0,False,False,"{'v2': 1, 'v1': 9}",congruent@v1,
L3-44-00014-cong@v1,L3-44-00014,congruent,v1,,7,0,False,False,"{'v2': 0, 'v1': 7}",congruent@v1,
L3-44-00015-cong@v1,L3-44-00015,congruent,v1,,9,9,True,False,"{'v2': 0, 'v1': 9}",congruent@v1,
L3-44-00016-cong@v1,L3-44-00016,congruent,v1,,8,0,False,False,"{'v2': 1, 'v1': 8}",congruent@v1,
L3-44-00017-cong@v1,L3-44-00017,congruent,v1,,7,0,False,False,"{'v2': 2, 'v1': 7}",congruent@v1,
L3-44-00018-cong@v1,L3-44-00018,congruent,v1,,7,0,False,False,"{'v2': 0, 'v1': 7}",congruent@v1,
L3-44-00019-cong@v1,L3-44-00019,congruent,v1,,3,5,False,False,"{'v2': 5, 'v1': 3}",congruent@v1,
L3-44-00020-cong@v1,L3-44-00020,congruent,v1,,1,0,False,False,"{'v2': 1, 'v1': 1}",congruent@v1,
L3-44-00021-cong@v1,L3-44-00021,congruent,v1,,5,4,False,False,"{'v2': 1, 'v1': 5}",congruent@v1,
L3-44-00022-cong@v1,L3-44-00022,congruent,v1,,3,5,False,False,"{'v2': 5, 'v1': 3}",congruent@v1,
L3-44-00023-cong@v1,L3-44-00023,congruent,v1,,3,0,False,False,"{'v2': 2, 'v1': 3}",congruent@v1,
L3-44-00024-cong@v1,L3-44-00024,congruent,v1,,2,0,False,False,"{'v2': 1, 'v1': 2}",congruent@v1,
L3-44-00025-cong@v1,L3-44-00025,congruent,v1,,7,5,False,False,"{'v2': 5, 'v1': 7}",congruent@v1,
L3-44-00026-cong@v1,L3-44-00026,congruent,v1,,6,3,False,False,"{'v2': 5, 'v1': 6}",congruent@v1,
L3-44-00027-cong@v1,L3-44-00027,congruent,v1,,6,0,False,False,"{'v2': 0, 'v1': 6}",congruent@v1,
L3-44-00028-cong@v1,L3-44-00028,congruent,v1,,1,5,False,False,"{'v2': 5, 'v1': 1}",congruent@v1,
L3-44-00029-cong@v1,L3-44-00029,congruent,v1,,8,3,False,False,"{'v2': 3, 'v1': 8}",congruent@v1,
L3-44-00030-cong@v1,L3-44-00030,congruent,v1,,1,7,False,False,"{'v2': 6, 'v1': 1}",congruent@v1,
L3-44-00031-cong@v1,L3-44-00031,congruent,v1,,5,3,False,False,"{'v2': 1, 'v1': 5}",congruent@v1,
L3-44-00032-cong@v1,L3-44-00032,congruent,v1,,0,7,False,False,"{'v2': 7, 'v1': 0}",congruent@v1,
L3-44-00033-cong@v1,L3-44-00033,congruent,v1,,1,0,False,False,"{'v2': 1, 'v1': 1}",congruent@v1,
L3-44-00034-cong@v1,L3-44-00034,congruent,v1,,2,0,False,False,"{'v2': 0, 'v1': 2}",congruent@v1,
L3-44-00035-cong@v1,L3-44-00035,congruent,v1,,0,0,True,False,"{'v2': 6, 'v1': 0}",congruent@v1,
L3-44-00036-cong@v1,L3-44-00036,congruent,v1,,6,3,False,False,"{'v2': 3, 'v1': 6}",congruent@v1,
L3-44-00037-cong@v1,L3-44-00037,congruent,v1,,2,5,False,False,"{'v2': 3, 'v1': 2}",congruent@v1,
L3-44-00038-cong@v1,L3-44-00038,congruent,v1,,3,5,False,False,"{'v2': 5, 'v1': 3}",congruent@v1,
L3-44-00039-cong@v1,L3-44-00039,congruent,v1,,7,0,False,False,"{'v2': 2, 'v1': 7}",congruent@v1,
L3-44-00040-cong@v1,L3-44-00040,congruent,v1,,3,5,False,False,"{'v2': 5, 'v1': 3}",congruent@v1,
L3-44-00041-cong@v1,L3-44-00041,congruent,v1,,3,0,False,False,"{'v2': 1, 'v1': 3}",congruent@v1,
L3-44-00042-cong@v1,L3-44-00042,congruent,v1,,2,1,False,False,"{'v2': 1, 'v1': 2}",congruent@v1,
L3-44-00043-cong@v1,L3-44-00043,congruent,v1,,6,0,False,False,"{'v2': 6, 'v1': 6}",congruent@v1,
L3-44-00044-cong@v1,L3-44-00044,congruent,v1,,4,3,False,False,"{'v2': 1, 'v1': 4}",congruent@v1,
L3-44-00045-cong@v1,L3-44-00045,congruent,v1,,3,3,True,False,"{'v2': 0, 'v1': 3}",congruent@v1,
L3-44-00046-cong@v1,L3-44-00046,congruent,v1,,9,0,False,False,"{'v2': 0, 'v1': 9}",congruent@v1,
L3-44-00047-cong@v1,L3-44-00047,congruent,v1,,3,3,True,False,"{'v2': 5, 'v1': 3}",congruent@v1,
L3-44-00048-cong@v1,L3-44-00048,congruent,v1,,5,5,True,False,"{'v2': 0, 'v1': 5}",congruent@v1,
L3-44-00049-cong@v1,L3-44-00049,congruent,v1,,6,6,True,False,"{'v2': 6, 'v1': 6}",congruent@v1,
L3-44-00050-cong@v1,L3-44-00050,congruent,v1,,8,8,True,False,"{'v2': 8, 'v1': 8}",congruent@v1,
L3-44-00051-cong@v1,L3-44-00051,congruent,v1,,1,7,False,False,"{'v2': 7, 'v1': 1}",congruent@v1,
L3-44-00052-cong@v1,L3-44-00052,congruent,v1,,0,0,True,False,"{'v2': 1, 'v1': 0}",congruent@v1,
L3-44-00053-cong@v1,L3-44-00053,congruent,v1,,0,0,True,False,"{'v2': 9, 'v1': 0}",congruent@v1,
L3-44-00054-cong@v1,L3-44-00054,congruent,v1,,6,5,False,False,"{'v2': 1, 'v1': 6}",congruent@v1,
L3-44-00055-cong@v1,L3-44-00055,congruent,v1,,8,0,False,False,"{'v2': 2, 'v1': 8}",congruent@v1,
L3-44-00056-cong@v1,L3-44-00056,congruent,v1,,9,7,False,False,"{'v2': 1, 'v1': 9}",congruent@v1,
L3-44-00057-cong@v1,L3-44-00057,congruent,v1,,0,0,True,False,"{'v2': 1, 'v1': 0}",congruent@v1,
L3-44-00058-cong@v1,L3-44-00058,congruent,v1,,4,3,False,False,"{'v2': 1, 'v1': 4}",congruent@v1,
L3-44-00059-cong@v1,L3-44-00059,congruent,v1,,8,7,False,False,"{'v2': 7, 'v1': 8}",congruent@v1,
L3-44-00060-cong@v1,L3-44-00060,congruent,v1,,5,0,False,False,"{'v2': 2, 'v1': 5}",congruent@v1,
L3-44-00061-cong@v1,L3-44-00061,congruent,v1,,5,4,False,False,"{'v2': 1, 'v1': 5}",congruent@v1,
L3-44-00062-cong@v1,L3-44-00062,congruent,v1,,9,7,False,False,"{'v2': 0, 'v1': 9}",congruent@v1,
L3-44-00063-cong@v1,L3-44-00063,congruent,v1,,3,0,False,False,"{'v2': 0, 'v1': 3}",congruent@v1,
L3-44-00064-cong@v1,L3-44-00064,congruent,v1,,2,7,False,False,"{'v2': 7, 'v1': 2}",congruent@v1,
L3-44-00065-cong@v1,L3-44-00065,congruent,v1,,8,7,False,False,"{'v2': 7, 'v1': 8}",congruent@v1,
L3-44-00066-cong@v1,L3-44-00066,congruent,v1,,7,6,False,False,"{'v2': 6, 'v1': 7}",congruent@v1,
L3-44-00067-cong@v1,L3-44-00067,congruent,v1,,6,2,False,False,"{'v2': 2, 'v1': 6}",congruent@v1,
L3-44-00068-cong@v1,L3-44-00068,congruent,v1,,9,0,False,False,"{'v2': 1, 'v1': 9}",congruent@v1,
L3-44-00069-cong@v1,L3-44-00069,congruent,v1,,3,3,True,False,"{'v2': 6, 'v1': 3}",congruent@v1,
L3-44-00070-cong@v1,L3-44-00070,congruent,v1,,4,0,False,False,"{'v2': 2, 'v1': 4}",congruent@v1,
L3-44-00071-cong@v1,L3-44-00071,congruent,v1,,0,0,True,False,"{'v2': 9, 'v1': 0}",congruent@v1,
L3-44-00072-cong@v1,L3-44-00072,congruent,v1,,8,8,True,False,"{'v2': 8, 'v1': 8}",congruent@v1,
L3-44-00073-cong@v1,L3-44-00073,congruent,v1,,0,0,True,False,"{'v2': 8, 'v1': 0}",congruent@v1,
L3-44-00074-cong@v1,L3-44-00074,congruent,v1,,8,8,True,False,"{'v2': 0, 'v1': 8}",congruent@v1,
L3-44-00075-cong@v1,L3-44-00075,congruent,v1,,3,1,False,False,"{'v2': 1, 'v1': 3}",congruent@v1,
L3-44-00076-cong@v1,L3-44-00076,congruent,v1,,1,5,False,False,"{'v2': 6, 'v1': 1}",congruent@v1,
L3-44-00077-cong@v1,L3-44-00077,congruent,v1,,2,0,False,False,"{'v2': 2, 'v1': 2}",congruent@v1,
L3-44-00078-cong@v1,L3-44-00078,congruent,v1,,1,8,False,False,"{'v2': 8, 'v1': 1}",congruent@v1,
L3-44-00079-cong@v1,L3-44-00079,congruent,v1,,7,7,True,False,"{'v2': 0, 'v1': 7}",congruent@v1,
L3-44-00080-cong@v1,L3-44-00080,congruent,v1,,2,5,False,False,"{'v2': 5, 'v1': 2}",congruent@v1,
L3-44-00081-cong@v1,L3-44-00081,congruent,v1,,6,0,False,False,"{'v2': 5, 'v1': 6}",congruent@v1,
L3-44-00082-cong@v1,L3-44-00082,congruent,v1,,0,0,True,False,"{'v2': 6, 'v1': 0}",congruent@v1,
L3-44-00083-cong@v1,L3-44-00083,congruent,v1,,6,0,False,False,"{'v2': 0, 'v1': 6}",congruent@v1,
L3-44-00084-cong@v1,L3-44-00084,congruent,v1,,9,0,False,False,"{'v2': 0, 'v1': 9}",congruent@v1,
L3-44-00085-cong@v1,L3-44-00085,congruent,v1,,2,6,False,False,"{'v2': 6, 'v1': 2}",congruent@v1,
L3-44-00086-cong@v1,L3-44-00086,congruent,v1,,2,0,False,False,"{'v2': 0, 'v1': 2}",congruent@v1,
L3-44-00087-cong@v1,L3-44-00087,congruent,v1,,2,0,False,False,"{'v2': 2, 'v1': 2}",congruent@v1,
L3-44-00088-cong@v1,L3-44-00088,congruent,v1,,1,7,False,False,"{'v2': 7, 'v1': 1}",congruent@v1,
L3-44-00089-cong@v1,L3-44-00089,congruent,v1,,3,0,False,False,"{'v2': 0, 'v1': 3}",congruent@v1,
L3-44-00090-cong@v1,L3-44-00090,congruent,v1,,3,0,False,False,"{'v2': 0, 'v1': 3}",congruent@v1,
L3-44-00091-cong@v1,L3-44-00091,congruent,v1,,6,0,False,False,"{'v2': 0, 'v1': 6}",congruent@v1,
L3-44-00092-cong@v1,L3-44-00092,congruent,v1,,3,0,False,False,"{'v2': 1, 'v1': 3}",congruent@v1,
L3-44-00093-cong@v1,L3-44-00093,congruent,v1,,9,9,True,False,"{'v2': 9, 'v1': 9}",congruent@v1,
L3-44-00094-cong@v1,L3-44-00094,congruent,v1,,4,0,False,False,"{'v2': 2, 'v1': 4}",congruent@v1,
L3-44-00095-cong@v1,L3-44-00095,congruent,v1,,5,0,False,False,"{'v2': 5, 'v1': 5}",congruent@v1,
L3-44-00096-cong@v1,L3-44-00096,congruent,v1,,2,0,False,False,"{'v2': 2, 'v1': 2}",congruent@v1,
L3-44-00097-cong@v1,L3-44-00097,congruent,v1,,8,8,True,False,"{'v2': 8, 'v1': 8}",congruent@v1,
L3-44-00098-cong@v1,L3-44-00098,congruent,v1,,9,9,True,False,"{'v2': 0, 'v1': 9}",congruent@v1,
L3-44-00099-cong@v1,L3-44-00099,congruent,v1,,6,0,False,False,"{'v2': 0, 'v1': 6}",congruent@v1,
L3-44-00100-cong@v1,L3-44-00100,congruent,v1,,8,8,True,False,"{'v2': 8, 'v1': 8}",congruent@v1,
L3-44-00101-cong@v1,L3-44-00101,congruent,v1,,3,0,False,False,"{'v2': 3, 'v1': 3}",congruent@v1,
L3-44-00102-cong@v1,L3-44-00102,congruent,v1,,9,4,False,False,"{'v2': 5, 'v1': 9}",congruent@v1,
L3-44-00103-cong@v1,L3-44-00103,congruent,v1,,0,0,True,False,"{'v2': 0, 'v1': 0}",congruent@v1,
L3-44-00104-cong@v1,L3-44-00104,congruent,v1,,0,0,True,False,"{'v2': 2, 'v1': 0}",congruent@v1,
L3-44-00105-cong@v1,L3-44-00105,congruent,v1,,6,0,False,False,"{'v2': 1, 'v1': 6}",congruent@v1,
L3-44-00106-cong@v1,L3-44-00106,congruent,v1,,1,0,False,False,"{'v2': 5, 'v1': 1}",congruent@v1,
L3-44-00107-cong@v1,L3-44-00107,congruent,v1,,9,0,False,False,"{'v2': 1, 'v1': 9}",congruent@v1,
L3-44-00108-cong@v1,L3-44-00108,congruent,v1,,4,4,True,False,"{'v2': 5, 'v1': 4}",congruent@v1,
L3-44-00109-cong@v1,L3-44-00109,congruent,v1,,4,0,False,False,"{'v2': 1, 'v1': 4}",congruent@v1,
L3-44-00110-cong@v1,L3-44-00110,congruent,v1,,0,0,True,False,"{'v2': 6, 'v1': 0}",congruent@v1,
L3-44-00111-cong@v1,L3-44-00111,congruent,v1,,8,0,False,False,"{'v2': 0, 'v1': 8}",congruent@v1,
L3-44-00112-cong@v1,L3-44-00112,congruent,v1,,7,5,False,False,"{'v2': 5, 'v1': 7}",congruent@v1,
L3-44-00113-cong@v1,L3-44-00113,congruent,v1,,1,3,False,False,"{'v2': 3, 'v1': 1}",congruent@v1,
L3-44-00114-cong@v1,L3-44-00114,congruent,v1,,6,0,False,False,"{'v2': 0, 'v1': 6}",congruent@v1,
L3-44-00115-cong@v1,L3-44-00115,congruent,v1,,2,0,False,False,"{'v2': 2, 'v1': 2}",congruent@v1,
L3-44-00116-cong@v1,L3-44-00116,congruent,v1,,4,0,False,False,"{'v2': 0, 'v1': 4}",congruent@v1,
L3-44-00117-cong@v1,L3-44-00117,congruent,v1,,8,0,False,False,"{'v2': 1, 'v1': 8}",congruent@v1,
L3-44-00118-cong@v1,L3-44-00118,congruent,v1,,4,0,False,False,"{'v2': 1, 'v1': 4}",congruent@v1,
L3-44-00119-cong@v1,L3-44-00119,congruent,v1,,2,0,False,False,"{'v2': 1, 'v1': 2}",congruent@v1,
L3-44-00120-cong@v1,L3-44-00120,congruent,v1,,7,0,False,False,"{'v2': 6, 'v1': 7}",congruent@v1,
L3-44-00121-cong@v1,L3-44-00121,congruent,v1,,3,3,True,False,"{'v2': 0, 'v1': 3}",congruent@v1,
L3-44-00122-cong@v1,L3-44-00122,congruent,v1,,2,2,True,False,"{'v2': 2, 'v1': 2}",congruent@v1,
L3-44-00123-cong@v1,L3-44-00123,congruent,v1,,6,6,True,False,"{'v2': 6, 'v1': 6}",congruent@v1,
L3-44-00124-cong@v1,L3-44-00124,congruent,v1,,9,6,False,False,"{'v2': 6, 'v1': 9}",congruent@v1,
L3-44-00125-cong@v1,L3-44-00125,congruent,v1,,5,0,False,False,"{'v2': 5, 'v1': 5}",congruent@v1,
L3-44-00126-cong@v1,L3-44-00126,congruent,v1,,3,0,False,False,"{'v2': 2, 'v1': 3}",congruent@v1,
L3-44-00127-cong@v1,L3-44-00127,congruent,v1,,6,5,False,False,"{'v2': 5, 'v1': 6}",congruent@v1,
L3-44-00128-cong@v1,L3-44-00128,congruent,v1,,6,5,False,False,"{'v2': 5, 'v1': 6}",congruent@v1,
L3-44-00129-cong@v1,L3-44-00129,congruent,v1,,0,0,True,False,"{'v2': 9, 'v1': 0}",congruent@v1,
